Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter,Birth_Country,Salary,Contract_Type
4,1996,SS,Greg Gagne,34,128,487,428,48,109,13,2,10,55,4,2,50,93,0.255,0.333,0.364,0.698,90,156,6,2,4,3,11,Right,No,Dominican Republic,317000.0,Arbitration
5,1996,3B,Mike Blowers,31,92,358,317,31,84,19,2,6,38,0,0,37,77,0.265,0.341,0.394,0.735,100,125,11,1,0,3,2,Right,No,USA,622000.0,Arbitration
6,1996,LF,Todd Hollandsworth,23,149,526,478,64,139,26,4,12,59,21,6,41,93,0.291,0.348,0.437,0.785,113,209,2,2,3,2,1,Left,No,USA,386000.0,Arbitration
7,1996,CF,Wayne Kirby,32,65,208,188,23,51,10,1,1,11,4,2,17,17,0.271,0.333,0.351,0.684,87,66,3,1,1,1,1,Left,No,USA,303000.0,Arbitration
8,1996,RF,Raul Mondesí,25,157,673,634,98,188,40,7,24,88,14,7,32,122,0.297,0.334,0.495,0.83,123,314,6,5,0,2,9,Right,No,South Korea,1099000.0,Mid
9,1996,CF,Roger Cedeño,21,86,238,211,26,52,11,1,2,18,5,1,24,47,0.246,0.326,0.336,0.663,81,71,0,1,2,0,0,Right,Yes,Venezuela,225000.0,Arbitration
10,1996,UT,Chad Fonville,25,103,221,201,34,41,4,1,0,13,7,2,17,31,0.204,0.266,0.234,0.5,38,47,1,0,3,0,1,Right,Yes,USA,188000.0,Rookie
11,1996,3B,Tim Wallach,38,45,175,162,14,37,3,1,4,22,0,1,12,32,0.228,0.286,0.333,0.619,68,54,4,1,0,0,0,Right,No,USA,211000.0,Arbitration
12,1996,SS,Juan Castro,24,70,146,132,16,26,5,3,0,5,1,0,10,27,0.197,0.254,0.28,0.534,46,37,3,0,4,0,0,Right,No,USA,198000.0,Rookie
13,1996,CF,Brett Butler,39,34,145,131,22,35,1,1,0,8,8,3,9,22,0.267,0.313,0.29,0.603,66,38,1,1,1,3,0,Left,No,USA,247000.0,Arbitration
14,1996,LF,Billy Ashley,25,71,133,110,18,22,2,1,9,25,0,0,21,44,0.2,0.331,0.482,0.813,118,53,3,1,0,1,1,Right,No,USA,990000.0,Mid
15,1996,CF,Chad Curtis,27,43,121,104,20,22,5,0,2,9,2,1,17,15,0.212,0.322,0.317,0.64,75,33,1,0,0,0,0,Right,No,USA,431000.0,Arbitration
16,1996,CI,Dave Hansen,27,80,116,104,7,23,1,0,0,6,0,0,11,22,0.221,0.293,0.231,0.524,45,24,4,0,0,1,1,Left,No,USA,165000.0,Rookie
17,1996,3B,Mike Busch,27,38,88,83,8,18,4,0,4,17,0,0,5,33,0.217,0.261,0.41,0.671,80,34,2,0,0,0,0,Right,No,USA,120000.0,Rookie
18,1996,C,Tom Prince,31,40,77,64,6,19,6,0,1,11,0,0,6,15,0.297,0.365,0.438,0.802,118,28,0,2,3,2,2,Right,No,USA,139000.0,Rookie
19,1996,LF,Milt Thompson,37,48,57,51,2,6,1,0,0,1,1,1,6,10,0.118,0.211,0.137,0.348,-3,7,1,0,0,0,0,Left,No,USA,118000.0,Rookie
20,1996,LF,Dave Clark,33,15,18,15,0,3,0,0,0,1,0,0,3,2,0.2,0.333,0.2,0.533,50,3,0,0,0,0,0,Left,No,USA,124000.0,Rookie
21,1996,C,Carlos Hernández,29,13,16,14,1,4,0,0,0,0,0,0,2,2,0.286,0.375,0.286,0.661,84,4,0,0,0,0,0,Right,No,USA,138000.0,Rookie
22,1996,OF,Rick Parker,33,16,15,14,2,4,1,0,0,1,1,0,0,2,0.286,0.333,0.357,0.69,89,5,1,1,0,0,0,Right,No,USA,132000.0,Rookie
23,1996,1B,Oreste Marrero,26,10,9,8,2,3,1,0,0,1,0,0,1,3,0.375,0.444,0.5,0.944,157,4,0,0,0,0,0,Left,No,Venezuela,111000.0,Rookie
24,1996,,Wilton Guerrero,21,5,2,2,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,Yes,Dominican Republic,114000.0,Rookie
25,1996,,Karim García,20,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,Dominican Republic,109000.0,Rookie
26,1996,P,Hideo Nomo,27,33,87,75,1,10,4,0,0,3,0,0,2,38,0.133,0.156,0.187,0.343,-7,14,1,0,10,0,0,Right,No,Japan,4000000.0,Mid
27,1996,P,Ismael Valdez,22,33,84,70,6,10,1,0,0,2,0,0,1,25,0.143,0.155,0.157,0.312,-15,11,1,0,13,0,0,Right,No,Dominican Republic,124000.0,Rookie
28,1996,P,Pedro Astacio,27,35,77,68,1,6,0,0,0,3,0,0,1,28,0.088,0.101,0.088,0.19,-48,6,0,0,8,0,0,Right,No,Dominican Republic,113000.0,Rookie
29,1996,P,Ramon Martinez,28,30,69,59,3,7,0,0,0,2,0,0,2,22,0.119,0.148,0.119,0.266,-26,7,0,0,8,0,0,Left,No,Dominican Republic,2500000.0,Mid
30,1996,P,Tom Candiotti,39,28,56,45,3,4,0,0,0,2,0,0,0,14,0.089,0.106,0.089,0.195,-46,4,1,1,9,1,0,Right,No,USA,126000.0,Rookie
31,1996,P,Chan Ho Park,23,48,23,19,0,1,0,0,0,2,0,0,1,9,0.053,0.1,0.053,0.153,-57,1,0,0,3,0,0,Right,No,South Korea,15000000.0,Mid
32,1996,P,Joey Eischen,26,28,6,6,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,USA,125000.0,Rookie
33,1996,P,Mark Guthrie,30,66,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,Dominican Republic,131000.0,Rookie
34,1996,P,Antonio Osuna,23,73,3,1,0,0,0,0,0,1,0,0,1,0,0.0,0.333,0.0,0.333,1,0,0,0,0,1,0,Right,No,USA,111000.0,Rookie
35,1996,P,Darren Dreifort,24,20,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,118000.0,Rookie
36,1996,P,Scott Radinsky,28,58,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,USA,135000.0,Rookie
37,1996,P,Darren Hall,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,124000.0,Rookie
38,1996,P,John Cummings,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,Cuba,127000.0,Rookie
39,1996,P,Todd Worrell,36,72,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Mexico,123000.0,Rookie
40,1996,P,Jim Bruske,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,110000.0,Rookie
1,1995,C,Mike Piazza,26,112,475,434,82,150,17,0,32,93,1,0,39,80,0.346,0.4,0.606,1.006,172,263,10,1,0,1,10,Right,No,USA,1516000.0,Mid
2,1995,1B,Eric Karros,27,143,620,551,83,164,29,3,32,105,4,4,61,115,0.298,0.369,0.535,0.905,145,295,14,4,0,4,4,Right,No,USA,1832000.0,Mid
3,1995,2B,Delino DeShields,26,127,493,425,66,109,18,3,8,37,39,14,63,83,0.256,0.353,0.369,0.722,99,157,6,1,3,1,4,Left,No,Dominican Republic,558000.0,Arbitration
4,1995,SS,Jose Offerman,26,119,511,429,69,123,14,6,4,33,2,7,69,67,0.287,0.389,0.375,0.765,112,161,5,3,10,0,0,Right,Yes,Dominican Republic,487000.0,Arbitration
5,1995,3B,Tim Wallach,37,97,362,327,24,87,22,2,9,38,0,0,27,69,0.266,0.326,0.428,0.754,106,140,11,4,0,4,4,Right,No,USA,602000.0,Arbitration
6,1995,LF,Billy Ashley,24,81,244,215,17,51,5,0,8,27,0,0,25,88,0.237,0.32,0.372,0.692,90,80,8,2,0,2,4,Right,No,USA,373000.0,Arbitration
7,1995,CF,Roberto Kelly,30,112,436,409,47,114,19,2,6,48,15,7,15,65,0.279,0.306,0.379,0.685,87,155,10,4,0,7,5,Right,No,Venezuela,459000.0,Arbitration
8,1995,RF,Raul Mondesí,24,139,580,536,91,153,23,6,26,88,27,4,33,96,0.285,0.328,0.496,0.824,123,266,7,4,0,7,4,Right,No,Dominican Republic,1051000.0,Mid
9,1995,MI,Chad Fonville,24,88,338,308,41,85,6,1,0,16,20,5,23,39,0.276,0.328,0.302,0.63,75,93,3,1,6,0,1,Right,Yes,USA,254000.0,Arbitration
10,1995,3B,Dave Hansen,26,100,211,181,19,52,10,0,1,14,0,0,28,28,0.287,0.384,0.359,0.743,106,65,4,1,0,1,4,Left,No,USA,892000.0,Mid
11,1995,CF,Brett Butler,38,39,178,146,24,40,5,2,0,13,11,1,24,9,0.274,0.368,0.336,0.703,95,49,1,0,4,4,0,Left,No,Venezuela,368000.0,Arbitration
12,1995,CF,Todd Hollandsworth,22,41,115,103,16,24,2,0,5,13,2,1,10,29,0.233,0.304,0.398,0.702,91,41,1,1,0,1,2,Left,No,Japan,498000.0,Arbitration
13,1995,C,Carlos Hernández,28,45,103,94,3,14,1,0,2,8,0,0,7,25,0.149,0.216,0.223,0.439,21,21,5,1,1,0,0,Right,No,USA,268000.0,Arbitration
14,1995,UT,Chris Gwynn,30,67,92,84,8,18,3,2,1,10,0,0,6,23,0.214,0.272,0.333,0.605,65,28,5,1,0,1,1,Left,No,USA,132000.0,Rookie
15,1995,RF,Henry Rodriguez,27,21,85,80,6,21,4,1,1,10,0,1,5,17,0.263,0.306,0.375,0.681,86,30,3,0,0,0,2,Left,No,Cuba,141000.0,Rookie
16,1995,UT,Garey Ingram,24,44,66,55,5,11,2,0,0,3,3,0,9,8,0.2,0.313,0.236,0.549,54,13,0,0,2,0,0,Right,No,USA,128000.0,Rookie
17,1995,OF,Mitch Webster,36,54,63,56,6,10,1,1,1,3,0,0,4,14,0.179,0.246,0.286,0.532,46,16,1,1,2,0,1,Right,Yes,Dominican Republic,117000.0,Rookie
18,1995,OF,Roger Cedeño,20,40,46,42,4,10,2,0,0,3,1,0,3,10,0.238,0.283,0.286,0.568,57,12,1,0,0,1,0,Right,Yes,USA,123000.0,Rookie
19,1995,C,Tom Prince,30,18,44,40,3,8,2,1,1,4,0,0,4,10,0.2,0.273,0.375,0.648,76,15,0,0,0,0,0,Right,No,USA,128000.0,Rookie
20,1995,OF,Rick Parker,32,27,33,29,3,8,0,0,0,4,1,1,2,4,0.276,0.323,0.276,0.598,67,8,1,0,2,0,0,Right,No,Dominican Republic,111000.0,Rookie
21,1995,OF,Karim García,19,13,20,20,1,4,0,0,0,0,0,0,0,4,0.2,0.2,0.2,0.4,11,4,0,0,0,0,0,Left,No,Cuba,129000.0,Rookie
22,1995,CI,Mike Busch,26,13,17,17,3,4,0,0,3,6,0,0,0,7,0.235,0.235,0.765,1.0,161,13,0,0,0,0,0,Right,No,Dominican Republic,141000.0,Rookie
23,1995,IF,Jeff Treadway,32,17,17,17,2,2,0,1,0,3,0,0,0,2,0.118,0.118,0.235,0.353,-6,4,0,0,0,0,0,Left,No,USA,115000.0,Rookie
24,1995,OF,Reggie Williams,29,15,13,11,2,1,0,0,0,1,0,0,2,3,0.091,0.231,0.091,0.322,-7,1,0,0,0,0,0,Right,Yes,USA,135000.0,Rookie
25,1995,IF,Dick Schofield,32,9,11,10,0,1,0,0,0,0,0,0,1,3,0.1,0.182,0.1,0.282,-20,1,0,0,0,0,0,Right,No,USA,139000.0,Rookie
26,1995,3B,Eddie Pye,28,7,8,8,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,140000.0,Rookie
27,1995,IF,Juan Castro,23,11,5,4,0,1,0,0,0,0,0,0,1,1,0.25,0.4,0.25,0.65,84,1,0,0,0,0,0,Right,No,USA,140000.0,Rookie
28,1995,C,Noe Munoz,27,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,Venezuela,126000.0,Rookie
29,1995,P,Ramon Martinez,27,30,78,64,2,11,4,0,0,4,0,0,1,19,0.172,0.185,0.234,0.419,14,15,0,0,13,0,0,Left,No,Dominican Republic,2500000.0,Mid
30,1995,P,Hideo Nomo,26,28,72,66,2,6,0,0,0,4,0,0,0,33,0.091,0.09,0.091,0.18,-50,6,1,0,5,1,0,Right,No,Japan,4000000.0,Mid
31,1995,P,Ismael Valdez,21,33,70,62,2,6,0,0,0,1,1,0,1,26,0.097,0.111,0.097,0.208,-42,6,0,0,7,0,0,Right,No,USA,114000.0,Rookie
32,1995,P,Tom Candiotti,38,30,63,55,2,6,0,0,0,2,0,0,3,16,0.109,0.155,0.109,0.264,-26,6,1,0,5,0,0,Right,No,USA,125000.0,Rookie
33,1995,P,Pedro Astacio,26,48,27,24,0,3,1,0,0,0,0,0,1,9,0.125,0.16,0.167,0.327,-10,4,1,0,2,0,0,Right,No,Venezuela,132000.0,Rookie
34,1995,P,Kevin Tapani,31,13,20,17,0,3,1,0,0,2,0,0,0,7,0.176,0.176,0.235,0.412,12,4,0,0,3,0,0,Right,No,Venezuela,117000.0,Rookie
35,1995,P,Willie Banks,26,6,11,8,1,1,0,0,0,0,0,0,1,4,0.125,0.3,0.125,0.425,23,1,0,1,1,0,0,Right,No,USA,130000.0,Rookie
36,1995,P,John Cummings,26,35,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,Dominican Republic,131000.0,Rookie
37,1995,P,Jose Parra,22,8,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,Right,No,USA,114000.0,Rookie
38,1995,P,Antonio Osuna,22,39,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,Puerto Rico,127000.0,Rookie
39,1995,P,Todd Williams,24,16,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,176,1,0,0,0,0,0,Right,No,USA,134000.0,Rookie
40,1995,P,Todd Worrell,35,59,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,Puerto Rico,125000.0,Rookie
41,1995,P,Chan Ho Park,22,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,South Korea,15000000.0,Mid
42,1995,P,Mark Guthrie,29,24,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,109000.0,Rookie
43,1995,P,Rob Murphy,35,6,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,452,1,0,0,0,0,0,Left,No,USA,121000.0,Rookie
44,1995,P,Rudy Seanez,26,37,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,Dominican Republic,139000.0,Rookie
45,1995,P,Joey Eischen,25,17,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,USA,116000.0,Rookie
46,1995,P,Omar Daal,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,130000.0,Rookie
47,1995,P,Felix Rodriguez,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Cuba,116000.0,Rookie
48,1995,P,Greg Hansell,24,20,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,120000.0,Rookie
49,1995,P,Jim Bruske,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,137000.0,Rookie
1,1994,C,Mike Piazza,25,107,441,405,64,129,18,0,24,92,1,3,33,65,0.319,0.37,0.541,0.91,140,219,11,1,0,2,10,Right,No,USA,1559000.0,Mid
2,1994,1B,Eric Karros,26,111,448,406,51,108,21,1,14,46,2,0,29,53,0.266,0.31,0.426,0.736,95,173,13,2,0,11,1,Right,No,USA,507000.0,Arbitration
3,1994,2B,Delino DeShields,25,89,376,320,51,80,11,3,2,33,27,7,54,53,0.25,0.357,0.322,0.679,84,103,9,0,1,1,0,Left,No,USA,313000.0,Arbitration
4,1994,SS,Jose Offerman,25,72,289,243,27,51,8,4,1,25,2,1,38,38,0.21,0.314,0.288,0.603,63,70,6,0,6,2,4,Right,Yes,Mexico,239000.0,Arbitration
5,1994,3B,Tim Wallach,36,113,466,414,68,116,21,1,23,78,0,2,46,80,0.28,0.356,0.502,0.859,127,208,12,4,0,2,2,Right,No,USA,917000.0,Mid
6,1994,LF,Henry Rodriguez,26,104,330,306,33,82,14,2,8,49,0,1,17,58,0.268,0.307,0.405,0.712,89,124,9,2,1,4,2,Left,No,Cuba,759000.0,Arbitration
7,1994,CF,Brett Butler,37,111,496,417,79,131,13,9,8,33,27,8,68,52,0.314,0.411,0.446,0.857,130,186,2,2,7,2,0,Left,No,Dominican Republic,692000.0,Arbitration
8,1994,RF,Raul Mondesí,23,112,454,434,63,133,27,8,16,56,11,8,16,78,0.306,0.333,0.516,0.849,123,224,9,2,0,2,5,Right,No,USA,705000.0,Arbitration
9,1994,LF,Cory Snyder,31,73,171,153,18,36,6,0,6,18,1,0,14,47,0.235,0.3,0.392,0.692,84,60,5,1,1,2,4,Right,No,Mexico,364000.0,Arbitration
10,1994,SS,Rafael Bournigal,28,40,132,116,2,26,3,1,0,11,0,0,9,5,0.224,0.291,0.267,0.559,51,31,4,2,5,0,1,Right,No,USA,258000.0,Arbitration
11,1994,LF,Mitch Webster,35,82,93,84,16,23,4,0,4,12,1,2,8,13,0.274,0.344,0.464,0.808,114,39,2,1,0,0,1,Right,Yes,USA,141000.0,Rookie
12,1994,2B,Garey Ingram,23,26,86,78,10,22,1,0,3,8,0,0,7,22,0.282,0.341,0.41,0.751,101,32,3,0,1,0,3,Right,No,Mexico,110000.0,Rookie
13,1994,LF,Chris Gwynn,29,58,78,71,9,19,0,0,3,13,0,2,7,7,0.268,0.333,0.394,0.728,94,28,1,0,0,0,0,Left,No,Dominican Republic,134000.0,Rookie
14,1994,IF,Jeff Treadway,31,52,78,67,14,20,3,0,0,5,1,1,5,8,0.299,0.351,0.343,0.695,88,23,1,1,4,1,0,Left,No,Venezuela,121000.0,Rookie
15,1994,C,Carlos Hernández,27,32,65,64,6,14,2,0,2,6,0,0,1,14,0.219,0.231,0.344,0.575,52,22,0,0,0,0,0,Right,No,USA,122000.0,Rookie
16,1994,3B,Dave Hansen,25,40,49,44,3,15,3,0,0,5,0,0,5,5,0.341,0.408,0.409,0.817,120,18,0,0,0,0,0,Left,No,USA,134000.0,Rookie
17,1994,MI,Eddie Pye,27,7,12,10,2,1,0,0,0,0,0,0,1,4,0.1,0.182,0.1,0.282,-21,1,0,0,1,0,0,Right,No,USA,139000.0,Rookie
18,1994,C,Tom Prince,29,3,7,6,2,2,0,0,0,1,0,0,1,3,0.333,0.429,0.333,0.762,108,2,0,0,0,0,0,Right,No,USA,140000.0,Rookie
19,1994,LF,Billy Ashley,23,2,6,6,0,2,1,0,0,0,0,0,0,2,0.333,0.333,0.5,0.833,120,3,0,0,0,0,0,Right,No,Dominican Republic,128000.0,Rookie
20,1994,P,Ramon Martinez,26,24,72,66,4,18,3,0,0,3,0,2,1,18,0.273,0.284,0.318,0.602,61,21,1,0,5,0,0,Left,No,Dominican Republic,2500000.0,Mid
21,1994,P,Tom Candiotti,37,23,58,50,2,7,1,0,0,3,0,0,1,9,0.14,0.157,0.16,0.317,-15,8,0,0,7,0,0,Right,No,USA,135000.0,Rookie
22,1994,P,Kevin Gross,33,25,54,47,2,7,0,0,1,3,0,0,3,18,0.149,0.2,0.213,0.413,11,10,1,0,4,0,0,Right,No,Dominican Republic,117000.0,Rookie
23,1994,P,Orel Hershiser,35,22,52,44,4,9,0,0,0,4,1,0,2,10,0.205,0.245,0.205,0.449,22,9,0,1,3,2,0,Right,No,USA,3000000.0,Star
24,1994,P,Pedro Astacio,25,23,51,47,2,3,0,0,0,0,0,0,0,22,0.064,0.064,0.064,0.128,-66,3,0,0,4,0,0,Right,No,USA,121000.0,Rookie
25,1994,P,Ismael Valdez,20,21,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,130000.0,Rookie
26,1994,P,Darren Dreifort,22,28,2,1,0,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,440,1,0,0,1,0,0,Right,No,Dominican Republic,117000.0,Rookie
27,1994,P,Roger McDowell,33,32,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,115000.0,Rookie
28,1994,P,Rudy Seanez,25,17,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,Dominican Republic,139000.0,Rookie
29,1994,P,Gary Wayne,31,19,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,USA,112000.0,Rookie
30,1994,P,Chan Ho Park,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,South Korea,15000000.0,Mid
31,1994,P,Omar Daal,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,116000.0,Rookie
32,1994,P,Brian Barnes,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,110000.0,Rookie
33,1994,P,Al Osuna,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Cuba,110000.0,Rookie
34,1994,P,Jim Gott,34,37,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,115000.0,Rookie
35,1994,P,Todd Worrell,34,38,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,137000.0,Rookie
1,1993,C,Mike Piazza,24,149,602,547,81,174,24,2,35,112,3,4,46,86,0.318,0.37,0.561,0.932,153,307,10,3,0,6,6,Right,No,USA,1203000.0,Mid
2,1993,1B,Eric Karros,25,158,658,619,74,153,27,2,23,80,0,1,34,82,0.247,0.287,0.409,0.696,89,253,17,2,0,3,1,Right,No,USA,411000.0,Arbitration
3,1993,2B,Jody Reed,30,132,504,445,48,123,21,2,2,31,1,3,38,40,0.276,0.333,0.346,0.679,88,154,16,1,17,3,10,Right,No,USA,409000.0,Arbitration
4,1993,SS,Jose Offerman,24,158,696,590,77,159,21,6,1,62,30,13,71,75,0.269,0.346,0.331,0.676,88,195,12,2,25,8,7,Right,Yes,USA,286000.0,Arbitration
5,1993,3B,Tim Wallach,35,133,522,477,42,106,19,1,12,62,0,2,32,70,0.222,0.271,0.342,0.612,68,163,10,3,1,9,2,Right,No,USA,336000.0,Arbitration
6,1993,LF,Eric Davis,31,108,422,376,57,88,17,0,14,53,33,5,41,88,0.234,0.308,0.391,0.699,91,147,8,1,0,4,6,Right,No,Mexico,393000.0,Arbitration
7,1993,CF,Brett Butler,36,156,716,607,80,181,21,10,1,42,39,19,86,69,0.298,0.387,0.371,0.758,110,225,6,5,14,4,1,Left,No,USA,639000.0,Arbitration
8,1993,RF,Cory Snyder,30,143,570,516,61,137,33,1,11,56,4,1,47,147,0.266,0.331,0.397,0.728,100,205,8,4,2,1,3,Right,No,USA,650000.0,Arbitration
9,1993,LF,Mitch Webster,34,88,192,172,26,42,6,2,2,14,4,6,11,24,0.244,0.293,0.337,0.63,73,58,3,2,4,3,2,Right,Yes,USA,315000.0,Arbitration
10,1993,OF,Henry Rodriguez,25,76,188,176,20,39,10,0,8,23,1,0,11,39,0.222,0.266,0.415,0.681,84,73,1,0,0,1,2,Left,No,Cuba,400000.0,Arbitration
11,1993,2B,Lenny Harris,28,107,176,160,20,38,6,1,2,11,3,1,15,15,0.238,0.303,0.325,0.628,73,52,4,0,1,0,4,Left,No,Dominican Republic,496000.0,Arbitration
12,1993,3B,Dave Hansen,24,84,127,105,13,38,3,0,4,30,0,1,21,13,0.362,0.465,0.505,0.969,167,53,0,0,0,1,3,Left,No,Puerto Rico,1407000.0,Mid
13,1993,RF,Darryl Strawberry,31,32,120,100,12,14,2,0,5,12,1,0,16,19,0.14,0.267,0.31,0.577,58,31,1,2,0,2,1,Left,No,Dominican Republic,188000.0,Rookie
14,1993,C,Carlos Hernández,26,50,102,99,6,25,5,0,2,7,0,0,2,11,0.253,0.267,0.364,0.631,72,36,0,0,1,0,0,Right,No,USA,418000.0,Arbitration
15,1993,IF,Mike Sharperson,31,73,97,90,13,23,4,0,2,10,2,0,5,17,0.256,0.299,0.367,0.666,82,33,2,1,0,1,0,Right,No,USA,125000.0,Rookie
16,1993,OF,Raul Mondesí,22,42,91,86,13,25,3,1,4,10,4,1,4,16,0.291,0.322,0.488,0.811,120,42,1,0,1,0,0,Right,No,Dominican Republic,125000.0,Rookie
17,1993,LF,Billy Ashley,22,14,39,37,0,9,0,0,0,0,0,0,2,11,0.243,0.282,0.243,0.525,47,9,0,0,0,0,0,Right,No,Mexico,116000.0,Rookie
18,1993,OF,Tom Goodwin,24,30,18,17,6,5,1,0,0,1,1,2,1,4,0.294,0.333,0.353,0.686,89,6,1,0,0,0,0,Left,No,USA,128000.0,Rookie
19,1993,MI,Rafael Bournigal,27,8,18,18,0,9,1,0,0,3,0,0,0,2,0.5,0.5,0.556,1.056,191,10,0,0,0,0,0,Right,No,USA,115000.0,Rookie
20,1993,RF,Jerry Brooks,26,9,9,9,2,2,1,0,1,1,0,0,0,2,0.222,0.222,0.667,0.889,134,6,0,0,0,0,0,Right,No,USA,120000.0,Rookie
21,1993,P,Orel Hershiser,34,34,83,73,11,26,4,0,0,6,0,1,2,5,0.356,0.373,0.411,0.784,116,30,1,0,8,0,0,Right,No,USA,3000000.0,Star
22,1993,P,Kevin Gross,32,33,78,64,6,13,2,0,1,7,0,0,5,32,0.203,0.271,0.281,0.553,53,18,1,1,8,0,0,Right,No,USA,116000.0,Rookie
23,1993,P,Ramon Martinez,25,32,78,70,2,9,1,0,0,2,0,0,0,23,0.129,0.127,0.143,0.27,-26,10,1,0,7,1,0,Left,No,Dominican Republic,2500000.0,Mid
24,1993,P,Tom Candiotti,36,33,70,60,1,8,2,0,0,2,0,0,1,13,0.133,0.148,0.167,0.314,-14,10,2,0,9,0,0,Right,No,South Korea,111000.0,Rookie
25,1993,P,Pedro Astacio,24,31,69,62,4,10,0,0,0,2,0,1,0,26,0.161,0.161,0.161,0.323,-11,10,0,0,7,0,0,Right,No,Puerto Rico,140000.0,Rookie
